0.44	1	1	0.02	0.01
0.814	1	1	0.06	0.02
1.365	1	1	0.08	0.01
5	1	1	0.09	0.04
30	1	1	0.10	0.01
60	1	1	0.12	0.03
300	1	1	0.16	0.04
600	1	1	0.18	0.01
1200	1	1	0.27	0.01
2400	1	1	0.39	0.01
3600	1	1	0.41	0.13
0.264	3	1	0.10	0.00
0.44	3	1	0.25	0.02
0.814	3	1	0.13	0.01
1.365	3	1	0.17	0.08
5	3	1	0.22	0.01
30	3	1	0.29	0.04
60	3	1	0.25	0.01
120	3	1	0.32	0.10
300	3	1	0.33	0.03
480	3	1	0.46	0.02
900	3	1	0.62	0.08
1800	3	1	0.87	0.23
2700	3	1	0.84	0.00
3600	3	1	0.88	0.10
